ID,R,G,B,Saturacao,Claros,Escuros,Textura,Circularidade
47,80,78,75,15.823863636363637,0,40,3.283654229622777,0.0029470872501780403
48,92,92,89,12.782051282051283,0,14,2.6904824750745195,0.0043515356119350635
50,86,84,82,15.25418060200669,0,23,3.1070753417617434,0.0026505416201940417
51,35,34,33,16.76966473243069,0,5774,2.395609278103265,0.8492836182934353
52,87,86,85,9.666666666666666,0,16,2.5742019392195155,0.003574580420041374
53,28,27,27,17.734112611129405,0,5590,2.022105457909343,0.8341723674155918
54,36,36,35,10.323393077873918,0,5789,2.312735395895433,0.859901942336003
55,95,92,89,16.0,0,1,3.742081063487169,0.0020352705199454062
56,36,36,36,8.626788908765652,0,3861,2.158248535306815,0.8075052763831969
57,38,37,36,18.691074419717637,0,3684,2.4174658580875046,0.8545712681082599
58,30,29,29,10.948369119816423,0,5695,3.0292313701305376,0.8189672774961665
59,28,26,26,27.559288275129465,0,7098,3.24684414294035,0.7931709313172208
60,35,35,34,11.132350934643199,0,6874,3.3346067769897556,0.8244638728618482
61,31,30,30,9.214619977408423,0,5858,2.8411232397985406,0.8076297858461973
62,26,24,24,20.690006618133687,0,7141,3.0427223078767947,0.8442809099716507
63,101,101,99,6.841897233201581,0,2,3.6202651865556583,0.0031959566592933124
65,29,28,28,14.323079627351028,0,5324,2.901059238702162,0.8355156592988878
67,31,30,30,8.852249408050513,0,5939,3.082006920889437,0.8536404280564213
68,34,32,31,20.95825771324864,0,5017,2.6209644019597764,0.8117097743886297
69,92,92,91,6.372469635627531,0,10,2.9281715832391133,0.0029330812362278317
70,98,94,91,19.394812680115272,2,5,4.749279610785623,0.002638485604021705
71,36,36,35,10.779048681824522,0,6694,3.2594034330352555,0.8241411066835865
72,36,35,35,9.401805869074492,0,6015,2.738636790351869,0.8559626758802883
73,28,26,26,25.814319433516914,0,5956,2.7741608250248397,0.8084375342739065
74,61,54,48,55.916219839142094,0,2275,3.301556446363107,0.8369757838022012
