ID,R,G,B,Saturação,Claros,Escuros,Textura,Circularidade,ehBom
266,28,27,27,7.186808449489869,0,6580,15.971641250974276,0.8159473522565253,1
267,35,34,34,13.791702829369902,0,5240,17.43422185043639,0.8126214606850515,1
268,35,34,34,15.395574416489845,0,6168,15.254351388449727,0.8171372564006543,1
269,81,80,78,11.083333333333334,0,49,27.27427532812845,0.002628957180330759,1
270,31,30,30,19.388194334546604,0,6003,16.31487545089753,0.8216601893930172,1
271,23,23,23,12.565934065934066,0,7399,13.3792358505282,0.8301844304061939,1
272,34,32,32,23.842257979424954,0,3475,20.693818138477997,0.8352244739962382,1
273,31,30,30,16.08005336891261,0,5707,15.427529891968005,0.828323282379586,1
274,31,29,30,19.952352501867065,0,6257,18.253755795771838,0.8337852549309526,1
275,28,26,27,12.809231253938249,0,5983,17.587531719804485,0.8137779527817486,1
276,29,28,28,11.262904468412943,0,4864,17.686459822367752,0.8396915829308457,1
277,27,26,26,7.158891867739053,0,5285,16.65097230667338,0.8539645187511641,1
278,36,35,35,13.236716565224544,0,5677,15.406343674930172,0.8526181850001386,1
279,27,26,26,13.442719881744273,0,5116,15.95720081973336,0.8302459937663355,1
280,45,43,41,22.944420002932983,0,6053,17.6776546666372,0.8319224557256945,1
281,40,39,38,20.842751273737843,0,3638,20.016223582794186,0.7999956047010233,1
282,93,91,89,12.076190476190476,0,4,24.895137901937048,0.003169356834420982,1
283,43,41,39,23.887340301974447,0,4224,17.50388908421947,0.8455261807252538,1
284,45,41,39,38.66838046272493,0,4193,17.498047341133162,0.8210949935634624,1
285,29,28,28,12.490362096919474,0,5231,18.17045890677376,0.8294957115560571,1
286,96,96,95,7.959558823529412,0,12,26.821547743088484,0.0022254143082776913,1
287,41,39,37,28.708234737340273,0,3873,17.17374265222506,0.7960276445184663,1
288,31,29,30,18.125209030100333,0,4431,19.05966709985547,0.8228919703683015,1
289,102,100,96,17.18095238095238,0,0,23.99641486618014,0.0018197452026542408,1
290,106,103,100,16.512396694214875,0,0,25.115988361770007,0.0036832493627106788,1
291,89,86,83,23.645283018867925,0,36,36.353367176793675,0.0015672133033162387,1
292,99,96,92,18.431192660550458,0,6,23.26243351549604,0.0032590665290216573,1
293,29,29,29,3.710594668489405,0,6901,17.25928581373791,0.8570221777682895,1
294,77,73,71,25.296875,0,28,26.5685486373025,0.0031435131806415023,1
295,30,30,30,7.062226543509966,0,5801,16.52502033484693,0.847525136187249,1
296,101,98,95,15.71069182389937,0,2,26.907782641137697,0.0031706678700733704,1
297,103,103,100,11.682926829268293,0,4,30.55412968599385,0.004979254022425951,1
298,30,29,29,13.38356881214024,0,5412,16.44228929523552,0.8573213923426608,1
299,30,29,29,19.28886554621849,0,4486,17.01898724358149,0.8160275780554114,1
300,48,42,40,46.010396716826264,0,2808,22.018993976746657,0.8243395505674946,1
301,35,33,33,17.15946314831665,0,4013,20.317983065703764,0.8125684877545849,1
302,39,38,37,17.077580539119,0,3320,21.970697246308806,0.860218637427291,1
303,36,34,34,20.010750761512273,0,5169,16.236010724257326,0.8468279622936155,1
304,101,99,94,18.838509316770185,0,3,24.35428517443654,0.003136145187853141,1
305,38,37,35,26.00044649501414,0,5719,17.773956499969618,0.8290231736925703,1
306,92,89,86,17.506849315068493,0,9,25.087919047988425,0.0040841352976709825,1
307,107,103,99,21.54090909090909,0,22,41.95190354136272,0.00261782472209313,1
308,95,92,90,15.095070422535212,0,7,24.605970393628063,0.0035924109882883924,1
309,87,84,81,21.509090909090908,0,54,36.19346609627824,0.002793940041601094,1
310,39,38,35,27.1027006466337,0,4836,15.95680449160515,0.8261246932217433,1
311,34,32,33,20.218083961248656,0,4296,19.63896725264281,0.8399333956086382,1
312,109,107,103,16.753246753246753,0,2,30.651587219982826,0.004347555604438625,1
313,44,42,40,30.055748456790123,0,4476,18.882093662273363,0.7936560578447338,1
314,91,89,87,13.732142857142858,0,12,25.840665626101817,0.003149656645654915,1
315,32,31,31,10.891156462585034,0,5700,16.30583335638623,0.8373414514446693,1
316,104,100,96,22.359447004608295,0,5,28.452019690200736,0.003554679707992938,1
317,46,44,41,30.183724640984728,0,3544,18.50390361471133,0.8122972001126122,1
318,68,65,62,30.734806629834253,0,51,30.78450857284866,0.003572060841296544,1
319,99,99,97,8.43233082706767,0,5,27.39298967468348,0.0028582291163470456,1
320,33,32,32,21.88161933998465,0,4895,17.657314211866357,0.820388322776848,1
321,82,81,79,8.902439024390244,0,35,31.244591298740684,0.0028888408889617234,1
322,105,103,99,21.94573643410853,0,18,35.556394799038635,0.003610464305349748,1
323,88,88,85,14.023809523809524,0,24,36.59014074779312,0.005903511806838294,1
324,36,35,34,11.729113924050633,0,5120,18.34950275831008,0.8173199910266374,1
325,96,94,91,18.526132404181183,0,32,35.86414484183263,0.0032459525487413795,1
326,41,40,38,22.431145229515902,0,5778,17.410922016047408,0.8409320059825653,1
327,40,39,37,25.320962888666,0,5207,16.995514711231046,0.8289001752347686,1
328,31,30,30,12.335124347559104,0,6135,16.476704844854876,0.8273745485785167,1
329,99,96,92,19.822134387351777,0,1,23.95026926434606,0.0027318617265125783,1
330,37,35,35,16.750692520775623,0,6366,18.159020474052884,0.8344766502559688,1
331,40,39,37,20.950831657832207,0,4885,19.122420454012126,0.821797165456598,1
332,89,87,85,13.26551724137931,0,10,24.63667041489141,0.002596771223234899,1
333,39,37,35,24.725188442211056,0,5829,17.150192552585338,0.8193189144069887,1
334,41,40,39,13.454997804770965,0,5550,18.571059271173404,0.8081765514479552,1
335,98,95,91,19.62857142857143,0,7,23.26284835050697,0.003263989186057169,1
336,45,43,40,29.01235415236788,0,3724,18.751424195342672,0.7775054301186534,1
337,95,93,90,17.53035143769968,0,32,34.67275649368974,0.0022474641151647794,1
338,43,42,40,21.925128205128207,0,3955,20.888555091965614,0.8350408795039839,1
339,102,102,99,11.97212543554007,0,14,30.893895974115882,0.003012639115113298,1
340,92,90,89,11.214634146341464,0,17,28.70451982973347,0.00277979828207884,1
341,39,38,36,17.395109395109394,0,4914,17.461926433573307,0.8323072941567567,1
342,105,104,99,16.485355648535563,0,2,26.021403226678633,0.0031597953303484304,1
343,38,37,36,16.693057429899536,0,6074,18.835193913536244,0.818208066502014,1
344,38,37,36,19.99640902872777,0,4975,18.555541345429678,0.829032431696544,1
345,35,35,33,16.990333399092524,0,4667,19.864899595835187,0.8278902441712112,1
