ID,R,G,B,Saturação,Claros,Escuros,Textura,Circularidade,ehBom
45,130,127,120,17.887179487179488,0,0,31.764727645919788,0.005409319236341161,0
46,83,83,80,11.707792207792208,0,3,19.99777036821307,0.007910819267583602,0
47,80,79,76,16.149253731343283,0,35,29.724624941080815,0.004374695605499045,0
48,149,135,119,54.12992125984252,0,3,32.571965420678296,0.005451009572285881,0
49,102,100,93,22.956521739130434,0,16,36.45919491759543,0.0033853641183391753,0
50,45,43,40,28.541263603385733,0,5334,17.24969942892779,0.8521513847706785,0
51,140,130,117,38.418772563176894,0,7,37.652397783108,0.003322655752150411,0
52,99,98,94,15.245551601423488,0,4,25.59110290344564,0.002589465285192303,0
53,38,37,33,30.565858499929107,0,6378,15.476736233483477,0.8318591396431028,0
54,44,43,39,29.4967639867683,0,5533,16.4497352978114,0.8259952850420186,0
55,97,96,91,18.39032258064516,0,2,22.28997268760444,0.0018620094384802393,0
56,91,91,87,18.097972972972972,0,15,26.343288570733993,0.001592301619940073,0
57,83,83,79,15.862453531598513,0,11,23.028875350948425,0.002982639890505245,0
58,35,35,33,18.83967741935484,0,5586,16.789805761157528,0.8192813374505048,0
59,86,85,81,15.88888888888889,0,20,24.00177020422557,0.00278512745112253,0
60,36,36,33,19.78533387955756,0,6372,18.836508393276326,0.8071421573201294,0
61,99,98,93,18.46794871794872,0,13,27.926639237048658,0.0021330517238124604,0
62,98,97,92,16.77133105802048,0,4,21.734460474627536,0.0032570652224571594,0
63,93,92,88,16.83402489626556,0,11,26.177604068555674,0.0027284418410327633,0
64,39,38,35,25.850701023114816,0,6691,16.694185720513822,0.8158603498491882,0
65,29,29,28,11.308429384807665,0,6742,16.78364468327521,0.7877752484291257,0
66,91,91,87,13.149659863945578,0,8,24.995353355947593,0.003424092739377896,0
67,130,123,113,31.964169381107492,0,2,31.164800800959572,0.0016136848948538566,0
68,37,35,33,29.46000612932884,0,5743,18.770858570805608,0.8435820921948236,0
69,144,137,120,42.351485148514854,0,0,22.730918641533407,0.003338653111983856,0
70,94,93,87,19.949640287769785,0,0,20.34737150461032,0.005247866530493819,0
